collection_start_time;members_count;sources_id;source_name
"2023-03-01T00:55:15Z";2348;"ok;42863649423557;1";"ok"
"2023-03-01T00:55:15Z";346;"ok;42926456045782;1";"ok"
"2023-03-01T00:55:15Z";3289;"ok;47188592295970;1";"ok"
"2023-03-01T00:55:15Z";58743;"ok;48187492401283;1";"ok"
"2023-03-01T00:55:15Z";540;"ok;50751313608769;1";"ok"
"2023-03-01T00:55:15Z";1649270;"ok;50752764379349;1";"ok"
"2023-03-01T00:55:15Z";540;"ok;50809568493660;1";"ok"
"2023-03-01T00:55:15Z";288;"ok;51457726349441;1";"ok"
"2023-03-01T00:55:15Z";115;"ok;51506338267346;1";"ok"
"2023-03-01T00:55:15Z";80231;"ok;51771620786414;1";"ok"
"2023-03-01T00:55:15Z";985;"ok;51839194235075;1";"ok"
"2023-03-01T00:55:15Z";195;"ok;51974936592567;1";"ok"
"2023-03-01T00:55:15Z";231;"ok;51992191172689;1";"ok"
"2023-03-01T00:55:15Z";1590;"ok;52065043873993;1";"ok"
"2023-03-01T00:55:15Z";432;"ok;52139777130588;1";"ok"
"2023-03-01T00:55:15Z";1742;"ok;52245425094862;1";"ok"
"2023-03-01T00:55:15Z";1416;"ok;52284273852578;1";"ok"
"2023-03-01T00:55:15Z";750;"ok;52292554391680;1";"ok"
"2023-03-01T00:55:15Z";790;"ok;52599743250651;1";"ok"
"2023-03-01T00:55:15Z";296;"ok;52675592650933;1";"ok"
"2023-03-01T00:55:15Z";811;"ok;52830759944343;1";"ok"
"2023-03-01T00:55:15Z";234;"ok;52976240099540;1";"ok"
"2023-03-01T00:55:15Z";393;"ok;52993432813750;1";"ok"
"2023-03-01T00:55:15Z";1278;"ok;53080790335569;1";"ok"
"2023-03-01T00:55:15Z";72;"ok;53088186990661;1";"ok"
"2023-03-01T00:55:15Z";17999;"ok;53339377238108;1";"ok"
"2023-03-01T00:55:15Z";589;"ok;53774709358822;1";"ok"
"2023-03-01T00:55:15Z";1347;"ok;53811959103490;1";"ok"
"2023-03-01T00:55:15Z";162162;"ok;53915694989329;1";"ok"
"2023-03-01T00:55:15Z";1095;"ok;54037390229719;1";"ok"
"2023-03-01T00:55:15Z";276;"ok;54350853243051;1";"ok"
"2023-03-01T00:55:15Z";956;"ok;54377279717383;1";"ok"
"2023-03-01T00:55:15Z";1228;"ok;54394661830672;1";"ok"
"2023-03-01T00:55:15Z";2191;"ok;54469813272578;1";"ok"
"2023-03-01T00:55:15Z";91275;"ok;54564585799926;1";"ok"
"2023-03-01T00:55:15Z";1120;"ok;54614280962157;1";"ok"
"2023-03-01T00:55:15Z";811;"ok;54833120215066;1";"ok"
"2023-03-01T00:55:15Z";2006;"ok;55065903693901;1";"ok"
"2023-03-01T00:55:15Z";574;"ok;55105019248795;1";"ok"
"2023-03-01T00:55:15Z";189;"ok;55453694034050;1";"ok"
"2023-03-01T00:55:15Z";1092;"ok;55724430983214;1";"ok"
"2023-03-01T00:55:15Z";5766;"ok;56080999448603;1";"ok"
"2023-03-01T00:55:15Z";78;"ok;57016200855797;1";"ok"
"2023-03-01T00:55:15Z";222;"ok;57067215782046;1";"ok"
"2023-03-01T00:55:15Z";593;"ok;57291669307623;1";"ok"
"2023-03-01T00:55:15Z";604;"ok;57377608171624;1";"ok"
"2023-03-01T00:55:15Z";106;"ok;57432413241413;1";"ok"
"2023-03-01T00:55:15Z";348;"ok;57654497378548;1";"ok"
"2023-03-01T00:55:15Z";560;"ok;57713205116950;1";"ok"
"2023-03-01T00:55:15Z";1989;"ok;58229158051886;1";"ok"
"2023-03-01T00:55:15Z";289;"ok;58562481291268;1";"ok"
"2023-03-01T00:55:15Z";60;"ok;58571056676874;1";"ok"
"2023-03-01T00:55:15Z";1027;"ok;58571994300421;1";"ok"
"2023-03-01T00:55:15Z";5;"ok;58579728924678;1";"ok"
"2023-03-01T00:55:15Z";490;"ok;58632576237574;1";"ok"
"2023-03-01T00:55:15Z";38;"ok;58723346087948;1";"ok"
"2023-03-01T00:55:15Z";129;"ok;58780710207620;1";"ok"
"2023-03-01T00:55:15Z";126;"ok;58870425190623;1";"ok"
"2023-03-01T00:55:15Z";458;"ok;59526331367451;1";"ok"
"2023-03-01T00:55:15Z";1109;"ok;59620048764958;1";"ok"
"2023-03-01T00:55:15Z";238;"ok;60805663555750;1";"ok"
"2023-03-01T00:55:15Z";68;"ok;60896021446784;1";"ok"
"2023-03-01T00:55:15Z";93;"ok;60943544090781;1";"ok"
"2023-03-01T00:55:15Z";135;"ok;60947735380110;1";"ok"
"2023-03-01T00:55:15Z";98;"ok;60964706254989;1";"ok"
"2023-03-01T00:55:15Z";78;"ok;61016345084045;1";"ok"
"2023-03-01T00:55:15Z";982;"ok;61067223957656;1";"ok"
"2023-03-01T00:55:15Z";79;"ok;61074999148686;1";"ok"
"2023-03-01T00:55:15Z";159;"ok;61076705837194;1";"ok"
"2023-03-01T00:55:15Z";15;"ok;61103262924929;1";"ok"
"2023-03-01T00:55:15Z";58;"ok;61130206347401;1";"ok"
"2023-03-01T00:55:15Z";1844;"ok;61131151507587;1";"ok"
"2023-03-01T00:55:15Z";34;"ok;61134499414150;1";"ok"
"2023-03-01T00:55:15Z";150;"ok;61384799748351;1";"ok"
"2023-03-01T00:55:15Z";579;"ok;61446925647952;1";"ok"
"2023-03-01T00:55:15Z";1570;"ok;61451321540694;1";"ok"
"2023-03-01T00:55:15Z";53;"ok;61478927269974;1";"ok"
"2023-03-01T00:55:15Z";48;"ok;61479744110674;1";"ok"
"2023-03-01T00:55:15Z";77;"ok;61516700844125;1";"ok"
"2023-03-01T00:55:15Z";1862;"ok;61619756466261;1";"ok"
"2023-03-01T00:55:15Z";5;"ok;61703022510155;1";"ok"
"2023-03-01T00:55:15Z";364;"ok;61709028425806;1";"ok"
"2023-03-01T00:55:15Z";326;"ok;61977435373769;1";"ok"
"2023-03-01T00:55:15Z";326;"ok;61985868415095;1";"ok"
"2023-03-01T00:55:15Z";773;"ok;61992988901473;1";"ok"
"2023-03-01T00:55:15Z";104;"ok;62079007260780;1";"ok"
"2023-03-01T00:55:15Z";82;"ok;62182612861051;1";"ok"
"2023-03-01T00:55:15Z";1187;"ok;62203094564985;1";"ok"
"2023-03-01T00:55:15Z";127;"ok;62279772405876;1";"ok"
"2023-03-01T00:55:15Z";237;"ok;62279902298231;1";"ok"
"2023-03-01T00:55:15Z";243;"ok;62299968241860;1";"ok"
"2023-03-01T00:55:15Z";2531;"ok;62381463765190;1";"ok"
"2023-03-01T00:55:15Z";83;"ok;62381842890964;1";"ok"
"2023-03-01T00:55:15Z";24;"ok;62396796829807;1";"ok"
"2023-03-01T00:55:15Z";113;"ok;62408231813330;1";"ok"
"2023-03-01T00:55:15Z";181;"ok;62414824145103;1";"ok"
"2023-03-01T00:55:15Z";108;"ok;62448071934057;1";"ok"
"2023-03-01T00:55:15Z";133;"ok;62520540201007;1";"ok"
"2023-03-01T00:55:15Z";3;"ok;62521826476239;1";"ok"
"2023-03-01T00:55:15Z";40;"ok;62522772488402;1";"ok"